PZN,Name,Norm,Amount,Darreichung
00008125,Finasterid ratiopharm 5mg,N1,30 ST,FTA
00008131,Finasterid ratiopharm 5mg,N2,50 ST,FTA
00008148,Finasterid ratiopharm 5mg,N3,100 ST,FTA
00008355,Endofalk Classic Btl,,8X72 ST,PLE
00008361,Endofalk Classic Btl,,16X72 ST,PLE
00008438,Endofalk Classic Btl,,32X72 ST,PLE
00008496,Jurnista 8mg Retardtabl,KP,20 ST,RET
00008556,Xyzall-Eurimpharm ,N2,50 ST,FTA
00008562,Xyzall-Eurimpharm ,N3,100 ST,FTA
00008579,Prograf 1mg-kohlpharma ,N2,50 ST,HKP
00008585,Prograf 1mg-kohlpharma ,N3,100 ST,HKP
00008711,Aquaglide 2in1 Gleit U Mas,,125 ML,GEL
00009923,Duspatalin 135mg-Eurimpharm ,N2,50 ST,UTA
00009946,Duspatalin 135mg-Eurimpharm ,N3,100 ST,UTA
00009952,Penicillin V STADA 1.5mega,N1,10 ST,TAB
00009969,Penicillin V STADA 1.5mega,N2,20 ST,TAB
00009975,Penicillin V STADA 1.5mega,N3,30 ST,TAB
00010518,Clindasol 600mg Filmtabl,N2,30 ST,FTA
00010636,Finasterid Biomo 5mg Fta,N3,100 ST,FTA
00010760,Zithromax 250mg Filmtabl,N2,6 ST,FTA
00010808,Acc Akut 600,N1,20 ST,BTA
00010837,Clindasol 150mg/ml Inj Loe,N1,4 ML,ILO
00011133,Blopresid 16mg Plus 12.5mg-Orifarm ,N3,98 ST,TAB
00011162,Norvasc 5mg,N1,30 ST,TAB
00011280,Celipro Lich,N1,30 ST,FTA
00011297,Celipro Lich,N2,50 ST,FTA
00011305,Celipro Lich,N3,100 ST,FTA
00011340,Rebif 22 Mikrogramm Inj Lo-Eurimpharm ,N2,12 ST,FER
00011699,Actihaemyl Gelee,N1,20 G,GEL
00011788,Tilidin 150/12retard 1A Ph,N3,100 ST,RET
00011995,Saettigungskapseln,,120 ST,KAP
00012405,Armschlinge S,,1 ST,   
00012411,Armschlinge M,,1 ST,   
00012428,Armschlinge L,,1 ST,   
00012440,Armschlinge Xl,,1 ST,   
00012486,Rizatriptan Lin 1A Pha 5mg,N1,3 ST,SMT
00012813,Lansoprazol Abz 30mg Kaps,N3,98 ST,KMR
00012842,Sertralin Abz 50mg Filmtab,N3,100 ST,FTA
00012931,Exforge 5mg/80mg Fta-kohlpharma ,N2,56 ST,FTA
00012954,Dermasence Mycolex,,75 ML,SPR
00013161,Crataegus AL 450mg Filmtab,N1,30 ST,FTA
00013178,Crataegus AL 450mg Filmta,N2,50 ST,FTA
00013184,Crataegus AL 450mg Filmta,N3,100 ST,FTA
00013468,Serevent Diskus 60 Einzeld-kohlpharma ,N1,1 ST,PUL
00013474,Serevent Diskus 60 Einzeld-kohlpharma ,N2,2 ST,PUL
00013480,Solian Loesung-kohlpharma ,N1,60 ML,LOE
00013534,Exforge 5mg/80mg Fta-kohlpharma ,N3,98 ST,FTA
00013758,Rizatriptan Lin 1A Pha 5mg,N2,6 ST,SMT
00013764,Rizatriptan Lin 1A Pha 5mg,N3,18 ST,SMT
00013787,Rizatriptan Lin 1A Pha10mg,N1,3 ST,SMT
00013907,Clindasol 150mg/ml Inj Loe,N1,6 ML,ILO
00013913,Clindasol 150mg/ml Inj Loe,N2,5X6 ML,ILO
00013959,Twinrix Kinder Impfdosis-Emra-Med ,N1,1X1 ST,ISU
00013965,Twinrix Kinder Impfdosis-Emra-Med ,N2,10X1 ST,ISU
00013971,Twinrix Erwachsene Impfdos-Emra-Med ,N1,1X1 ST,ISU
00013988,Twinrix Erwachsene Impfdos-Emra-Med ,N2,10X1 ST,ISU
00013994,Isicom 100mg/25mg,N3,200 ST,TAB
00014002,Exforge 5mg/160mg Fta-kohlpharma ,N1,28 ST,FTA
00014019,Exforge 5mg/160mg Fta-kohlpharma ,N2,56 ST,FTA
00014025,Carvedilol AL 12.5mg,N3,100 ST,TAB
00014031,Simvastatin Abz 10mg Filmt,N2,50 ST,FTA
00014048,Simvastatin Abz 10mg Filmt,N3,100 ST,FTA
00014054,Sulpirid HEXAL 200mg Tabl,N2,50 ST,TAB
00014060,Sulpirid HEXAL 200mg Tabl,N3,100 ST,TAB
00014120,Carve TAD 6.25mg,N1,30 ST,TAB
00014137,Carve TAD 6.25mg,N3,100 ST,TAB
00014172,Simvastatin Abz 20mg Filmt,N2,50 ST,FTA
00014189,Simvastatin Abz 20mg Filmt,N3,100 ST,FTA
00014249,Simvastatin Abz 40mg Filmt,N2,50 ST,FTA
00014255,Simvastatin Abz 40mg Filmt,N3,100 ST,FTA
00014350,Exforge 5mg/160mg Fta-kohlpharma ,N3,98 ST,FTA
00014367,Climen-kohlpharma ,N2,3X21 ST,UTA
00014485,Rubriment Oel,N1,100 ML,EMU
00014539,Carve TAD 12.5mg,N1,30 ST,TAB
00014545,Coloplast Dermasol,,50 ML,FLU
00014657,Pendysin 1.2 Mega,N2,5 ST,TRS
00014686,Carve TAD 12.5mg,N2,50 ST,TAB
00014692,Carve TAD 12.5mg,N3,100 ST,TAB
00014700,Carve TAD 25mg,N1,30 ST,TAB
00014717,Carve TAD 25mg,N2,50 ST,TAB
00014723,Carve TAD 25mg,N3,100 ST,TAB
00014901,Zymafluor D 500 C C,N3,90 ST,TAB
00014982,Symadal M Spray,,86 G,SPR
00015183,Painbreak-Pb ,N1,20 ST,BTA
00015214,Rizatriptan Lin 1A Pha10mg,N2,6 ST,SMT
00015237,Painbreak-Pb ,N2,50 ST,BTA
00015243,Painbreak-Pb ,N3,100 ST,BTA
00015438,Rizatriptan Lin 1A Pha10mg,,12 ST,SMT
00015450,Rizatriptan Lin 1A Pha10mg,N3,18 ST,SMT
00015467,Ziprasidon 1A Pharma 20mg,N1,30 ST,HKP
00015473,Ziprasidon 1A Pharma 20mg,N2,60 ST,HKP
00015496,Ziprasidon 1A Pharma 20mg,N3,100 ST,HKP
00015510,Ziprasidon 1A Pharma 40mg,N1,30 ST,HKP
00015527,Ziprasidon 1A Pharma 40mg,N2,60 ST,HKP
00015533,Ziprasidon 1A Pharma 40mg,N3,100 ST,HKP
00015562,Locacorten Vioform,N3,2X50 G,CRE
00015585,Micanol Creme 1%,N2,2X50 G,CRE
00015616,Robinul Zur Injektion 0.2,N2,2X5X1 ML,ILO
00015645,Vancomycin Lederle 1000,N3,2X5 ST,TSS
00015728,Ziprasidon 1A Pharma 60mg,N1,30 ST,HKP
00015740,Ziprasidon 1A Pharma 60mg,N2,60 ST,HKP
00015792,Ziprasidon 1A Pharma 60mg,N3,100 ST,HKP
00015800,Ziprasidon 1A Pharma 80mg,N1,30 ST,HKP
00015817,Ziprasidon 1A Pharma 80mg,N2,60 ST,HKP
00015823,Ziprasidon 1A Pharma 80mg,N3,100 ST,HKP
00016047,Ecalta 100mg Pul Z Her Kon,N1,1 ST,PIK
00016053,Ecalta 100mg Pul Z Her Kon,KP,1 ST,PIF
00016461,Hepatitis B Immunglob Fsp,N1,1 ML,FER
00016573,Terazoflo 2mg Tabletten,N3,98 ST,TAB
00016969,Optiderm Fettcreme-Emra-Med ,N1,50 G,CRE
00016975,Optiderm Fettcreme-Emra-Med ,,100 G,CRE
00016981,Optiderm Fettcreme-Emra-Med ,,200 G,CRE
00017319,Champix 0.5/1mg 4wo Startp,,53 ST,FTA
00017360,Terazoflo 10mg Tabletten,N3,98 ST,TAB
00017377,Loceryl Nagellack-kohlpharma ,N2,5 ML,NAW
00017845,Sogoon,N2,50 ST,FTA
00017851,Sogoon,N3,100 ST,FTA
00017868,Activelle Filmtabletten-kohlpharma ,N1,28 ST,FTA
00017874,Activelle Filmtabletten-kohlpharma ,N2,3X28 ST,FTA
00017880,Elontril 300mg Tabletten-kohlpharma ,N2,30 ST,TAB
00017897,Elontril 300mg Tabletten-kohlpharma ,N3,3X30 ST,TAB
00017905,Elontril 150mg Tabletten-kohlpharma ,N2,30 ST,TAB
00017911,Elontril 150mg Tabletten-kohlpharma ,N3,3X30 ST,TAB
00017928,Symbicort Tur 320/9µg 60ED-kohlpharma ,N1,1 ST,IHP
00017934,Symbicort Tur 320/9µg 60ED-kohlpharma ,N2,3 ST,IHP
00018141,Dermasence Adtop Plus 40,,100 ML,CRE
00018419,Femoston Conti 1mg/5mg-Orifarm ,N2,84 ST,FTA
00018431,Solian 200mg-kohlpharma ,N3,100 ST,TAB
00018520,Telfast 180mg-Pharma ,N3,100 ST,FTA
00018537,Telfast 180mg-Pharma ,N2,50 ST,FTA
00018543,Telfast 180mg-Pharma ,N1,20 ST,FTA
00018649,Jurnista 16mg Retardtabl,KP,20 ST,RET
00018655,Jurnista 32mg Retardtabl,KP,20 ST,RET
00018709,Encepur Erwachsene-Eurimpharm ,N1,0.5 ML,FER
00018715,Encepur Erwachsene-Eurimpharm ,N2,10X0.5 ML,FER
00018721,Encepur Erwachsene-Eurimpharm ,N3,20X0.5 ML,FER
00019353,Broncholind Bronchial-Tro,,20 ML,TRO
00019703,Carvedilol AL 12.5mg,N1,30 ST,TAB
00020238,Inductos 12mg Set Z Implan,,1 ST,TRS
00020511,Toviaz 4mg Retardtabl,N1,28 ST,RET
00020540,Toviaz 8mg Retardtabl,N1,28 ST,RET
00020853,Yentreve 20mg Mag Hartkaps-kohlpharma ,N1,28 ST,HKM
00020988,Yentreve 20mg Mag Hartkaps-kohlpharma ,N3,98 ST,HKM
00020994,Yentreve 40mg Mag Hartkaps-kohlpharma ,N1,28 ST,HKM
00021025,Venlafaxin beta Ret 75mg,N1,20 ST,REK
00021031,Venlafaxin beta Ret 75mg,N2,50 ST,REK
00021048,Venlafaxin beta Ret 75mg,N3,100 ST,REK
00021060,Venlafaxin beta Ret 150mg,N1,20 ST,REK
00021077,Venlafaxin beta Ret 150mg,N2,50 ST,REK
00021083,Venlafaxin beta Ret 150mg,N3,100 ST,REK
00021108,Venlafaxin beta Ret 37.5mg,,7 ST,REK
00021120,Venlafaxin beta 37.5mg,N1,20 ST,TAB
00021137,Venlafaxin beta 37.5mg,N2,50 ST,TAB
00021143,Venlafaxin beta 37.5mg,N3,100 ST,TAB
00021232,Akineton 5mg/ml,N1,5X1 ML,IIL
00021249,Akineton 5mg/ml,KP,50X1 ML,IIL
00021255,Akineton 5mg/ml,KP,100X1 ML,IIL
00021367,Dermasence Mousse Reinig,,200 ML,SCH
00021396,Akineton 2mg Tabletten,KP,5X5X40 ST,TAB
00021539,Yentreve 40mg Mag Hartkaps-kohlpharma ,N3,98 ST,HKM
00021545,Risperidon Hennig 0.5mg,N1,30 ST,FTA
00021551,Revatio 20mg-kohlpharma ,N2,90 ST,FTA
00021568,Risperidon Hennig 0.5mg,N3,100 ST,FTA
00021574,Risperidon Hennig 1mg,N1,30 ST,FTA
00021580,Risperidon Hennig 2mg,N1,30 ST,FTA
00021605,Risperidon Hennig 4mg,N1,30 ST,FTA
00021628,Ferrlecit 62.5mg-kohlpharma ,N2,6X5 ML,AMP
00021640,Enbrel 25mg-Axicorp ,N2,8 ST,ILO
00021657,Enbrel 25mg-Axicorp ,N3,24 ST,ILO
00021663,Venlafaxin Winthrop 37.5mg,,10 ST,REK
00021686,Venlafaxin Winthrop 75mg,N1,20 ST,REK
00021692,Venlafaxin Winthrop 75mg,N2,50 ST,REK
00021700,Venlafaxin Winthrop 75mg,N3,100 ST,REK
00021717,Venlafaxin Winthrop 150mg,N1,20 ST,REK
00021723,Venlafaxin Winthrop 150mg,N2,50 ST,REK
00021746,Venlafaxin Winthrop 150mg,N3,100 ST,REK
00021752,Amoxicillin R C875mg/125mg-Eurimpharm ,N1,10 ST,FTA
00021769,Amoxicillin R C875mg/125mg-Eurimpharm ,N2,20 ST,FTA
00021982,Apidra 100 I.E./ml-kohlpharma ,N3,5X10 ML,DFL
00022295,Alendronsaeure Abz 70mg,N2,4 ST,TAB
00022332,Omacor-kohlpharma ,N3,100 ST,WKA
00022958,Insulatard Penfi 100IE/ml-Emra-Med ,N1,5X3 ML,ZAM
00022964,Insulatard Penfi 100IE/ml-Emra-Med ,N2,10X3 ML,ZAM
00023343,Privigen 10% Lsg 5g-kohlpharma ,N1,50 ML,INF
00023395,Varihesive Ex Du 5x10cm Hy-Aca ,,10 ST,   
00023403,Varihesive Ex Du7.5x7.5 Hy-Aca ,,5 ST,   
00023863,Imidin Sanft Nasen Pflege,,20 ML,NAS
00023923,Albothyl Konzentrat,N2,100 ML,KON
00024093,Zebinix Eisai 800mg Tab,N1,30 ST,TAB
00024101,Zopiclon-HEXAL 7.5mg Film,N1,10 ST,FTA
00024118,Zopiclon-HEXAL 7.5mg Film,N2,20 ST,FTA
00024124,Zolpidem HEXAL 10mg Filmta,N1,10 ST,FTA
00024176,Zolpidem HEXAL 10mg Filmta,N2,20 ST,FTA
00024207,Rasilez 300mg-kohlpharma ,N1,28 ST,FTA
00024213,Bondronat 6mg-kohlpharma ,N1,1 ST,IFK
00024236,Rasilez 300mg-kohlpharma ,N3,98 ST,FTA
00025750,Keppra 1000mg-Axicorp ,N3,200 ST,FTA
00026092,Fludarabinmedac 25mg/ml,N1,1 ST,KII
00026643,Topamax 50mg,N1,50 ST,FTA
00026672,Topamax 50mg,N2,100 ST,FTA
00026695,Topamax 100mg,N1,50 ST,FTA
00026703,Topamax 100mg,N2,100 ST,FTA
00026726,Topamax 200mg,N2,100 ST,FTA
00027140,Ebastel 10mg Filmtabletten-Eurimpharm ,N1,20 ST,FTA
00027157,Ebastel 10mg Filmtabletten-Eurimpharm ,N2,50 ST,FTA
00027430,Terbiderm 250mg,N1,14 ST,TAB
00027708,Zactoline,,3 ML,CRE
00027890,Evista,N2,28 ST,FTA
00027909,Evista,N3,84 ST,FTA
00027950,Ibuprofen Atid 600mg,,10 ST,FTA
00028412,Fludarabin-HEXAL 25mg/ml,N2,5X2 ML,KII
00028547,Ligasano Grue Unst 55x45x2,,28 ST,VER
00028777,Ice Power Plus,,200 ML,GEL
00028783,Sic Ophtal Sine,N1,30X0.6 ML,ATR
00028808,Sic Ophtal Sine,N2,60X0.6 ML,ATR
00028814,Sic Ophtal Sine,N3,120X0.6 ML,ATR
00028866,Gadovist Pfs 1.0 Mmol/ml-Eurocontrast ,N2,5X7.5 ML,FER
00028889,Captogamma 6.25,N1,30 ST,TAB
00028895,Captogamma 6.25,N2,50 ST,TAB
00028903,Captogamma 6.25,N3,100 ST,TAB
00029009,Aldactone 100,N3,100 ST,HKP
00029021,Terbiderm 250mg,N2,28 ST,TAB
00030604,Terbiderm 250mg,N3,42 ST,TAB
00031199,Sertralin Abz 100mg Filmta,N3,100 ST,FTA
00031213,Speikocopal,,20 ML,LOE
00031294,Rudanaht 38mmx6mm Set,,50X6 ST,   
00031319,Rudanaht 75mmx6mm Set,,50X3 ST,   
00031779,Noba Hemd Kinder Klein,,1 ST,   
00031785,Noba Hemd Kinder Gross,,1 ST,   
00031791,Noba Hemd Erwachsene Klein,,1 ST,   
00031816,Noba Hemd Erwachsene Gross,,1 ST,   
00031822,Noba Hose Kinder Klein,,1 ST,   
00031839,Noba Hose Kinder Gross,,1 ST,   
00031845,Noba Hose Erwachsene Klein,,1 ST,   
00031851,Noba Hose Erwachsene Gross,,1 ST,   
00031868,Noba Faeustling Klein,,2 ST,HAS
00031874,Noba Faeustling Gross,,2 ST,HAS
00032075,Fixiergurt 5cmx6m,,1 ST,   
00032081,Fixiergurt 7.5cmx6m,,1 ST,   
00032106,Avalox 400mg Filmtabletten-Emra-Med ,,5 ST,FTA
00032112,Avalox 400mg Filmtabletten-Emra-Med ,,7 ST,FTA
00032129,Avalox 400mg Filmtabletten-Emra-Med ,,10 ST,FTA
00032537,Nystatin Holsten Fta,N1,20 ST,FTA
00032566,Nystatin Holsten Fta,N2,50 ST,FTA
00032572,Nystatin Holsten Fta,N3,100 ST,FTA
00032690,Fsme Immun 0.25ml Junior-Eurimpharm ,N1,1 ST,ISU
00032709,Fsme Immun 0.25ml Junior-Eurimpharm ,N2,10 ST,ISU
00032738,Cellacast Tcc,,1 ST,VER
00032885,Noba Op Haube Schwester,,100 ST,   
00032891,Noba Op Haube Pfleger,,100 ST,   
00033028,Renvela 800mg Filmtablette,N3,180 ST,FTA
00033152,Celebrex 200mg-Aca ,N2,50 ST,HKP
00033169,Celebrex 200mg-Aca ,N3,100 ST,HKP
00033531,Armtragetuch Schwarz Zellw,,1 ST,   
00033577,Fixierverschluss 40cmx2cm,,20 ST,   
00033695,Fixierverschluss 60cmx2cm,,20 ST,   
00033703,Verbandklammern Braun,,50 ST,   
00033726,Legased Natur,,20 ML,LOE
00033979,Renvela 2.4g Pulv(Sachets),N2,60 ST,PSE
00034140,Glimepirid Abz 4mg,N2,120 ST,TAB
00034192,Glimepirid Abz 6mg,N2,120 ST,TAB
00034654,Prograf 1mg-Orifarm ,,90 ST,HKP
00035085,Enala-Q Comp 10/25mg Tabl,N3,100 ST,TAB
00035211,Aqua Ad Iniectabilia,,6X1000 ML,FLU
00036357,Cipro 1A Pharma 500mg,N3,28 ST,FTA
00036363,Furosemid 125 1A Pharma,N1,20 ST,TAB
00037983,Granocyte 34 M Spritze-Cc-Pharma ,N2,5X1 ST,PLH
00038505,Emla Pflaster,N3,20 ST,PFL
00038511,Emla Pflaster,,5X20 ST,PFL
00038540,Cefpo Basics 100mg Filmtab,N1,10 ST,FTA
00038557,Cefpo Basics 100mg Filmtab,N2,20 ST,FTA
00038563,Cefpo Basics 200mg Filmtab,N1,10 ST,FTA
00038586,Cefpo Basics 200mg Filmtab,N2,20 ST,FTA
00038600,TerbiGALEN 250mg Tabletten,N1,14 ST,TAB
00038617,TerbiGALEN 250mg Tabletten,N2,28 ST,TAB
00038623,TerbiGALEN 250mg Tabletten,N3,42 ST,TAB
00038669,Gabapentin AL 600mg Filmta,N2,100 ST,FTA
00038675,Gabapentin AL 600mg Filmta,N3,200 ST,FTA
00038698,Gabapentin AL 800mg Filmta,N3,200 ST,FTA
00038706,Amoxicillin AL 1000,N3,30 ST,FTA
00038876,Emla Creme+12tegaderm Pfl,N2,5X5 G,CRE
00039663,Emla Creme+240 Tegaderm Pf,,20X5X5 G,CRE
00039901,Fexofenadin Winthrop 120mg,,7 ST,FTA
00040235,Zinkoxid Eugenol,,40 G,PST
00040241,Calasept Speiko,,2X2.5 G,ZAM
00040293,Tetesept Meerwasser,,20 ML,NAS
00040531,Lomir Sro-kohlpharma ,N3,100 ST,REK
00040548,Ibuprofen Heum Schmerz 400,N1,10 ST,FTA
00040554,Ibuprofen Heum Schmerz 400,,20 ST,FTA
00040577,Amphotericin B 50mg,N1,1 ST,PIF
00040904,Spironolacton ratio 50mg,,100 ST,TAB
00040927,Tramadolor Long 50,,10 ST,REK
00040956,Tramadolor Long 50,N2,50 ST,REK
00040962,Tramadolor Long 100,,10 ST,REK
00040985,Tramadolor Long 100,N2,50 ST,REK
00040991,Tramadolor Long 150,,10 ST,REK
00041022,Tramadolor Long 150,N2,50 ST,REK
00041039,Tramadolor Long 200,,10 ST,REK
00041051,Tramadolor Long 200,N2,50 ST,REK
00041387,Engerix B Kinder-Emra-Med ,N1,1X0.5 ML,FER
00041393,Engerix B Kinder-Emra-Med ,N2,10X0.5 ML,FER
00041424,Ampuwa Plastikfl,N2,10X500 ML,IIL
00041447,Ampuwa Plastikfl,N2,10X1000 ML,IIL
00041499,Ampuwa Glasfl,N2,10X250 ML,IIL
00041890,EnaHEXAL 30mg Tabletten,N1,30 ST,TAB
00042180,EnaHEXAL 30mg Tabletten,N3,100 ST,TAB
00042197,EnaHEXAL 40mg Tabletten,N1,30 ST,TAB
00042464,Axigem 38mg/ml,N1,200 MG,TSS
00042642,Calcium SANDOZ Forte-kohlpharma ,,60 ST,BTA
00042659,Calcium SANDOZ Forte-kohlpharma ,,90 ST,BTA
00042725,Genotropin 12mg 36IE Zweik-kohlpharma ,N1,1 ST,TRS
00042731,Genotropin 12mg 36IE Zweik-kohlpharma ,N2,5 ST,TRS
00042748,Liserdol-kohlpharma ,N2,30 ST,FTA
00042777,Sandimmun Neoral 50mg Wka-kohlpharma ,N2,50 ST,WKA
00042783,Sandimmun Neoral 50mg Wka-kohlpharma ,N3,100 ST,WKA
00043417,Cialis 20mg Filmtabletten-Pharma ,,12 ST,FTA
00043423,Cialis 20mg Filmtabletten-Pharma ,,4 ST,FTA
00043452,EnaHEXAL 40mg Tabletten,N3,100 ST,TAB
00043676,Axigem 38mg/ml,N1,1000 MG,TSS
00044026,Aggrastat 250 Konzentrat,N1,50 ML,INF
00044055,Vigil 100mg,N1,20 ST,TAB
00044061,Vigil 100mg,N2,50 ST,TAB
00044090,Rebif 44 Mikrogramm Inj Lo-Cc-Pharma ,N2,12 ST,FER
00044233,Carvedilol AL 12.5mg,N2,50 ST,TAB
00044262,Carvedilol AL 25mg,N1,30 ST,TAB
00044279,Leupro SANDOZ 1monat Depot,N1,1 ST,IMP
00044291,Axigem 38mg/ml,N1,1500 MG,TSS
00044500,Carvedilol AL 25mg,N2,50 ST,TAB
00045043,Metformin AL 850,N1,30 ST,FTA
00045066,Metformin AL 850,N2,120 ST,FTA
00045072,Mcp AL 10,N1,20 ST,TAB
00045089,Mcp AL 10,N2,50 ST,TAB
00045095,Mcp AL 10,N3,100 ST,TAB
00045126,Mcp AL Retard,N2,50 ST,REK
00046350,Metronidazol Rat 400mg Tab,N1,14 ST,TAB
00046367,Metronidazol Rat 400mg Tab,N2,20 ST,TAB
00046597,Gynofit Vaginal Gel,,6X5 ML,GEL
00046605,Gynofit Vaginal Gel,,12X5 ML,GEL
00046611,Gynofit Vaginal Gel Milchs,,6X5 ML,GEL
00047208,Metformin - CT 850mg Film,N2,120 ST,FTA
00047214,Furo - CT 500mg Tabletten,N1,20 ST,TAB
00047220,Furo - CT 500mg Tabletten,N2,50 ST,TAB
00047757,Adalat 10mg-Emra-Med ,N1,30 ST,WKA
00047898,Vertigo Meresa 200,N1,20 ST,TAB
00047906,Vertigo Meresa 200,N2,50 ST,TAB
00047912,Vertigo Meresa 200,N3,100 ST,TAB
00048047,Xenical 120mg,,84 ST,HKP
00048053,Xenical 120mg,,42 ST,HKP
00048308,Roche Posay Autohelios Gel,,100 ML,CRE
00048567,Siccoral Loesung,,200 ML,GUL
00048633,Alasenn Kraeutergranulat,KP,500 G,GRA
00049124,Riboxatin 5mg/ml Pul Inf,N1,50 MG,PIF
00049147,Riboxatin 5mg/ml Pul Inf,N1,100 MG,PIF
00049207,Lomir Sro-Eurimpharm ,N3,100 ST,REK
00049288,Pulmicort 1.0mg/2ml Suspen-Eurimpharm ,N1,20X2 ML,SUV
00049294,Pulmicort 1.0mg/2ml Suspen-Eurimpharm ,N2,40X2 ML,SUV
00049532,Hbvaxpro 10µg-Aca ,N1,1 ML,FER
00049578,Piperacillin/Taz 4g/0.5g,N3,12 ST,PIF
00049704,Imurel 50mg-Beragena ,N3,100 ST,FTA
00050423,Differin Gel-kohlpharma ,N1,30 G,GEL
00050446,Differin Gel-kohlpharma ,,60 G,GEL
00050469,Daivonex-kohlpharma ,N3,60 ML,LOE
00050564,Leupro SANDOZ 3monat Depot,N1,1 ST,IMP
00050972,Piroxicam AL Gel,N1,50 G,GEL
00050989,Piroxicam AL Gel,N2,100 G,GEL
00051049,Elyth Spray W,,100 ML,SPR
00051055,Plavix,N1,28 ST,FTA
00051078,Plavix,KP,10X28 ST,FTA
00051090,Myocholine Glenwood 25mg,N3,100 ST,TAB
00051109,Potaba Glenwood 500mg,N3,3X240 ST,HKP
00051121,Potaba Glenwood Pulver 3g,N3,3X40 ST,PLE
00051813,Uromed Supr Dilat Ba304518,,1 ST,KAT
00051925,Metformin dura 500mg,N3,180 ST,FTA
00051931,Metformin dura 1000mg,N3,180 ST,FTA
00051960,Jodthyrox-Aca ,N3,100 ST,TAB
00052592,Metformin dura 850mg,N3,180 ST,FTA
00052669,Zavedos 10mg/10ml,N1,1 ST,ILO
00052706,Zavedos 20mg/20ml,N1,1 ST,ILO
00052729,Antihydral,N1,70 G,SAL
00052882,Bad Heilbr Fettverdauungs,,8X1.8 G,FBE
00052971,Palacos R+G 2x10,,1 P,KPG
00053031,Palacos R+G 2x20,,1 P,KPG
00053048,Palacos R+G 1x40,,1 P,KPG
00053054,Palacos R+G 2x40,,1 P,KPG
00053290,Fexofenadin Winthrop 120mg,N1,20 ST,FTA
00053309,Fexofenadin Winthrop 120mg,N2,50 ST,FTA
00053982,Fexofenadin Winthrop 120mg,N3,100 ST,FTA
00053999,Fexofenadin Winthrop 180mg,N1,20 ST,FTA
00054065,Fexofenadin Winthrop 180mg,N2,50 ST,FTA
00055248,Duspatalin-kohlpharma ,N3,100 ST,UTA
00055308,Noba Op Haube Barettfo Wei,,100 ST,   
00055432,Lygal Kopfsalbe N,N3,100 G,SAL
00055509,Nasonex 140 Spruehstoesse,,18 G,NAS
00055567,Femi Sabona,N2,50 ST,HKP
00055573,Femi Sabona,N3,100 ST,HKP
00055679,Bisoprolol SANDOZ 2.5mg,N3,100 ST,FTA
00055751,Propafenon AL 300,N2,50 ST,FTA
00055768,Propafenon AL 300,N3,100 ST,FTA
00055797,Propafenon AL 150,N3,100 ST,FTA
00055857,Fexofenadin Winthrop 180mg,N3,100 ST,FTA
00055975,Vera Lich 80mg,N2,50 ST,FTA
